id,Amount,Duplicates
10.1.1.64.349,2,"['10.1.1.64.349', '10.1.1.32.7861']"
10.1.1.64.1303,9,"['10.1.1.73.5079', '10.1.1.64.1303', '10.1.1.49.9700', '10.1.1.39.6147', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.63.8929,2,"['10.1.1.63.8929', '10.1.1.165.6135']"
10.1.1.63.7305,2,"['10.1.1.78.6911', '10.1.1.63.7305']"
10.1.1.63.7017,2,"['10.1.1.90.6865', '10.1.1.63.7017']"
10.1.1.63.3138,9,"['10.1.1.63.3138', '10.1.1.49.9700', '10.1.1.39.6147', '10.1.1.31.4024', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.63.2502,8,"['10.1.1.81.4430', '10.1.1.63.2502', '10.1.1.49.9700', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.62.8148,2,"['10.1.1.62.8148', '10.1.1.137.2115']"
10.1.1.62.1099,2,"['10.1.1.62.1099', '10.1.1.113.3824']"
10.1.1.60.9804,2,"['10.1.1.60.9804', '10.1.1.60.1268']"
10.1.1.60.5900,2,"['10.1.1.60.5900', '10.1.1.59.7332']"
10.1.1.60.1268,2,"['10.1.1.60.9804', '10.1.1.60.1268']"
10.1.1.6.624,3,"['10.1.1.6.624', '10.1.1.39.6147', '10.1.1.140.6887']"
10.1.1.6.285,2,"['10.1.1.6.285', '10.1.1.119.9102']"
10.1.1.6.1860,2,"['10.1.1.6.1860', '10.1.1.155.498']"
10.1.1.6.1455,2,"['10.1.1.6.1455', '10.1.1.105.1942']"
10.1.1.59.9133,2,"['10.1.1.75.4229', '10.1.1.59.9133']"
10.1.1.59.7332,2,"['10.1.1.60.5900', '10.1.1.59.7332']"
10.1.1.59.6213,2,"['10.1.1.59.6213', '10.1.1.105.2500']"
10.1.1.59.6201,3,"['10.1.1.87.7740', '10.1.1.59.6201', '10.1.1.39.6147']"
10.1.1.59.5519,2,"['10.1.1.59.5519', '10.1.1.121.7316']"
10.1.1.58.9190,8,"['10.1.1.58.9190', '10.1.1.49.9700', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793', '10.1.1.106.430']"
10.1.1.57.2784,3,"['10.1.1.57.2784', '10.1.1.53.442', '10.1.1.39.6147']"
10.1.1.56.4045,2,"['10.1.1.56.4045', '10.1.1.29.9108']"
10.1.1.56.3828,2,"['10.1.1.56.3828', '10.1.1.2.3165']"
10.1.1.55.9607,2,"['10.1.1.55.9607', '10.1.1.51.7371']"
10.1.1.55.858,3,"['10.1.1.55.858', '10.1.1.44.2822', '10.1.1.39.6147']"
10.1.1.55.8210,2,"['10.1.1.55.8210', '10.1.1.32.7028']"
10.1.1.55.6678,2,"['10.1.1.55.6678', '10.1.1.35.4594']"
10.1.1.55.3287,2,"['10.1.1.55.3287', '10.1.1.37.2260']"
10.1.1.54.9972,2,"['10.1.1.54.9972', '10.1.1.38.4946']"
10.1.1.54.8822,3,"['10.1.1.54.8822', '10.1.1.54.5535', '10.1.1.39.6147']"
10.1.1.54.5535,3,"['10.1.1.54.8822', '10.1.1.54.5535', '10.1.1.39.6147']"
10.1.1.54.2933,2,"['10.1.1.54.2933', '10.1.1.40.2308']"
10.1.1.54.1855,2,"['10.1.1.54.1855', '10.1.1.26.3390']"
10.1.1.54.1667,2,"['10.1.1.54.1667', '10.1.1.50.9145']"
10.1.1.53.689,2,"['10.1.1.53.689', '10.1.1.40.9196']"
10.1.1.53.442,9,"['10.1.1.57.2784', '10.1.1.53.442', '10.1.1.49.9700', '10.1.1.39.6147', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.53.3337,2,"['10.1.1.53.3337', '10.1.1.31.6660']"
10.1.1.52.6558,2,"['10.1.1.52.6558', '10.1.1.34.665']"
10.1.1.52.2810,2,"['10.1.1.52.2810', '10.1.1.31.5488']"
10.1.1.52.2486,3,"['10.1.1.52.2486', '10.1.1.5.4182', '10.1.1.140.2908']"
10.1.1.51.8438,2,"['10.1.1.51.8438', '10.1.1.45.8831']"
10.1.1.51.7371,2,"['10.1.1.55.9607', '10.1.1.51.7371']"
10.1.1.51.7088,2,"['10.1.1.51.7088', '10.1.1.44.4010']"
10.1.1.51.6399,2,"['10.1.1.68.8100', '10.1.1.51.6399']"
10.1.1.51.6359,2,"['10.1.1.51.6359', '10.1.1.206.1054']"
10.1.1.51.4463,3,"['10.1.1.51.4463', '10.1.1.49.6857', '10.1.1.39.6147']"
10.1.1.50.9145,2,"['10.1.1.54.1667', '10.1.1.50.9145']"
10.1.1.50.2773,8,"['10.1.1.50.2773', '10.1.1.49.9700', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793', '10.1.1.14.6482']"
10.1.1.5.932,2,"['10.1.1.5.932', '10.1.1.3.2533']"
10.1.1.5.7843,2,"['10.1.1.5.7843', '10.1.1.20.9835']"
10.1.1.5.4182,3,"['10.1.1.52.2486', '10.1.1.5.4182', '10.1.1.140.2908']"
10.1.1.5.319,2,"['10.1.1.5.319', '10.1.1.35.5705']"
10.1.1.5.2276,2,"['10.1.1.5.2276', '10.1.1.137.8479']"
10.1.1.49.9700,136,"['10.1.1.96.6534', '10.1.1.86.5219', '10.1.1.81.4430', '10.1.1.79.4446', '10.1.1.78.7325', '10.1.1.76.2175', '10.1.1.75.3023', '10.1.1.73.5079', '10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.64.1303', '10.1.1.63.3138', '10.1.1.63.2502', '10.1.1.58.9190', '10.1.1.53.442', '10.1.1.50.2773', '10.1.1.49.9700', '10.1.1.49.2865', '10.1.1.47.843', '10.1.1.46.7869', '10.1.1.45.9371', '10.1.1.45.6507', '10.1.1.45.4313', '10.1.1.44.8237', '10.1.1.40.9196', '10.1.1.40.2308', '10.1.1.4.1254', '10.1.1.39.6147', '10.1.1.38.2752', '10.1.1.35.8103', '10.1.1.35.6788', '10.1.1.35.4594', '10.1.1.34.665', '10.1.1.34.2039', '10.1.1.32.4894', '10.1.1.30.9381', '10.1.1.29.9108', '10.1.1.28.9511', '10.1.1.28.8872', '10.1.1.26.5588', '10.1.1.26.4045', '10.1.1.26.3390', '10.1.1.25.6221', '10.1.1.233.4878', '10.1.1.23.7215', '10.1.1.23.697', '10.1.1.228.2186', '10.1.1.227.8515', '10.1.1.227.1851', '10.1.1.226.404', '10.1.1.225.9097', '10.1.1.221.7060', '10.1.1.22.741', '10.1.1.22.6188', '10.1.1.22.2354', '10.1.1.22.1835', '10.1.1.219.6360', '10.1.1.210.5731', '10.1.1.210.5560', '10.1.1.210.4195', '10.1.1.210.3329', '10.1.1.210.1687', '10.1.1.21.6897', '10.1.1.21.4673', '10.1.1.207.214', '10.1.1.20.9835', '10.1.1.20.8918', '10.1.1.20.4800', '10.1.1.193.9150', '10.1.1.192.1996', '10.1.1.190.2303', '10.1.1.187.7534', '10.1.1.187.7185', '10.1.1.187.4658', '10.1.1.187.388', '10.1.1.184.2855', '10.1.1.183.9650', '10.1.1.183.64', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.183.167', '10.1.1.182.1598', '10.1.1.180.1847', '10.1.1.180.1751', '10.1.1.18.2328', '10.1.1.178.9381', '10.1.1.178.4839', '10.1.1.178.4377', '10.1.1.178.4340', '10.1.1.178.1853', '10.1.1.177.641', '10.1.1.173.8454', '10.1.1.172.9312', '10.1.1.172.9216', '10.1.1.172.5544', '10.1.1.172.5408', '10.1.1.172.2644', '10.1.1.170.8142', '10.1.1.170.8062', '10.1.1.170.7768', '10.1.1.170.7249', '10.1.1.170.6488', '10.1.1.169.6422', '10.1.1.169.3189', '10.1.1.169.2669', '10.1.1.169.2573', '10.1.1.168.8', '10.1.1.168.1030', '10.1.1.165.9793', '10.1.1.165.8237', '10.1.1.161.1616', '10.1.1.155.498', '10.1.1.150.4164', '10.1.1.15.6066', '10.1.1.15.2559', '10.1.1.149.700', '10.1.1.148.5759', '10.1.1.147.3014', '10.1.1.144.2304', '10.1.1.144.1073', '10.1.1.143.7564', '10.1.1.139.2637', '10.1.1.13.4427', '10.1.1.129.6712', '10.1.1.129.3184', '10.1.1.128.9063', '10.1.1.122.1668', '10.1.1.120.8615', '10.1.1.120.8540', '10.1.1.115.3869', '10.1.1.112.816', '10.1.1.112.3446', '10.1.1.112.1050', '10.1.1.110.2611', '10.1.1.106.430', '10.1.1.1.2490']"
10.1.1.49.7849,2,"['10.1.1.49.7849', '10.1.1.21.4673']"
10.1.1.49.6857,3,"['10.1.1.51.4463', '10.1.1.49.6857', '10.1.1.39.6147']"
10.1.1.49.6041,4,"['10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.49.6041', '10.1.1.134.4609']"
10.1.1.49.5842,2,"['10.1.1.49.5842', '10.1.1.31.735']"
10.1.1.49.565,3,"['10.1.1.49.565', '10.1.1.39.6147', '10.1.1.28.5387']"
10.1.1.49.5558,2,"['10.1.1.49.5558', '10.1.1.4.1954']"
10.1.1.49.2865,8,"['10.1.1.49.9700', '10.1.1.49.2865', '10.1.1.39.6147', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.49.1559,2,"['10.1.1.49.1559', '10.1.1.48.930']"
10.1.1.48.930,2,"['10.1.1.49.1559', '10.1.1.48.930']"
10.1.1.48.2833,2,"['10.1.1.81.6808', '10.1.1.48.2833']"
10.1.1.48.1387,3,"['10.1.1.48.1387', '10.1.1.39.6147', '10.1.1.36.5454']"
10.1.1.47.9075,2,"['10.1.1.47.9075', '10.1.1.39.6147']"
10.1.1.47.8594,2,"['10.1.1.47.8594', '10.1.1.47.843']"
10.1.1.47.843,8,"['10.1.1.49.9700', '10.1.1.47.8594', '10.1.1.47.843', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.46.8264,2,"['10.1.1.46.8264', '10.1.1.46.7869']"
10.1.1.46.7869,8,"['10.1.1.49.9700', '10.1.1.46.8264', '10.1.1.46.7869', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.46.7208,2,"['10.1.1.46.7208', '10.1.1.22.2062']"
10.1.1.46.6466,4,"['10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.46.6466', '10.1.1.192.4038']"
10.1.1.45.9371,8,"['10.1.1.49.9700', '10.1.1.45.9371', '10.1.1.26.5588', '10.1.1.23.9777', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.45.8831,2,"['10.1.1.51.8438', '10.1.1.45.8831']"
10.1.1.45.6507,8,"['10.1.1.49.9700', '10.1.1.45.6507', '10.1.1.45.4313', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.45.4417,2,"['10.1.1.45.4417', '10.1.1.11.7636']"
10.1.1.45.4313,8,"['10.1.1.49.9700', '10.1.1.45.6507', '10.1.1.45.4313', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.45.1315,2,"['10.1.1.45.1315', '10.1.1.40.7389']"
10.1.1.44.9058,2,"['10.1.1.44.9058', '10.1.1.21.2382']"
10.1.1.44.8237,7,"['10.1.1.49.9700', '10.1.1.44.8237', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.44.641,2,"['10.1.1.44.641', '10.1.1.144.7257']"
10.1.1.44.5598,3,"['10.1.1.44.5598', '10.1.1.39.6147', '10.1.1.34.9610']"
10.1.1.44.4010,2,"['10.1.1.51.7088', '10.1.1.44.4010']"
10.1.1.44.2857,2,"['10.1.1.44.2857', '10.1.1.29.99']"
10.1.1.44.2822,3,"['10.1.1.55.858', '10.1.1.44.2822', '10.1.1.39.6147']"
10.1.1.43.9196,3,"['10.1.1.43.9196', '10.1.1.39.6147', '10.1.1.107.4781']"
10.1.1.43.8921,2,"['10.1.1.72.4054', '10.1.1.43.8921']"
10.1.1.43.8609,2,"['10.1.1.43.8609', '10.1.1.33.4973']"
10.1.1.42.5336,2,"['10.1.1.42.5336', '10.1.1.30.2363']"
10.1.1.42.4604,2,"['10.1.1.42.4604', '10.1.1.40.1501']"
10.1.1.41.871,2,"['10.1.1.41.871', '10.1.1.22.2354']"
10.1.1.41.5224,2,"['10.1.1.41.5224', '10.1.1.25.5401']"
10.1.1.41.3037,3,"['10.1.1.41.3037', '10.1.1.39.6147', '10.1.1.186.3782']"
10.1.1.41.2580,2,"['10.1.1.41.2580', '10.1.1.25.6054']"
10.1.1.40.9299,2,"['10.1.1.68.8931', '10.1.1.40.9299']"
10.1.1.40.9196,8,"['10.1.1.53.689', '10.1.1.49.9700', '10.1.1.40.9196', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.40.7389,2,"['10.1.1.45.1315', '10.1.1.40.7389']"
10.1.1.40.4535,2,"['10.1.1.76.5251', '10.1.1.40.4535']"
10.1.1.40.2308,8,"['10.1.1.54.2933', '10.1.1.49.9700', '10.1.1.40.2308', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.40.1501,2,"['10.1.1.42.4604', '10.1.1.40.1501']"
10.1.1.40.1490,2,"['10.1.1.40.1490', '10.1.1.141.2567']"
10.1.1.4.7825,2,"['10.1.1.73.6942', '10.1.1.4.7825']"
10.1.1.4.1954,2,"['10.1.1.49.5558', '10.1.1.4.1954']"
10.1.1.4.1254,8,"['10.1.1.49.9700', '10.1.1.4.1254', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793', '10.1.1.11.9004']"
10.1.1.39.6147,90,"['10.1.1.93.478', '10.1.1.87.808', '10.1.1.87.7740', '10.1.1.81.3129', '10.1.1.80.6347', '10.1.1.79.46', '10.1.1.78.833', '10.1.1.77.5470', '10.1.1.73.5079', '10.1.1.72.7133', '10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.68.8428', '10.1.1.65.7908', '10.1.1.64.1303', '10.1.1.63.3138', '10.1.1.6.624', '10.1.1.59.6201', '10.1.1.57.2784', '10.1.1.55.858', '10.1.1.54.8822', '10.1.1.54.5535', '10.1.1.53.442', '10.1.1.51.4463', '10.1.1.49.9700', '10.1.1.49.6857', '10.1.1.49.565', '10.1.1.49.2865', '10.1.1.48.1387', '10.1.1.47.9075', '10.1.1.44.5598', '10.1.1.44.2822', '10.1.1.43.9196', '10.1.1.41.3037', '10.1.1.39.6147', '10.1.1.36.5906', '10.1.1.36.5454', '10.1.1.36.4161', '10.1.1.35.8103', '10.1.1.34.9610', '10.1.1.34.2039', '10.1.1.31.4024', '10.1.1.3.5198', '10.1.1.3.4808', '10.1.1.28.5387', '10.1.1.26.5588', '10.1.1.26.4934', '10.1.1.24.5112', '10.1.1.232.463', '10.1.1.23.7893', '10.1.1.228.8436', '10.1.1.22.3256', '10.1.1.219.5099', '10.1.1.216.977', '10.1.1.211.7178', '10.1.1.21.5977', '10.1.1.207.214', '10.1.1.190.4394', '10.1.1.19.4414', '10.1.1.186.3782', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.18.2328', '10.1.1.172.5544', '10.1.1.17.9518', '10.1.1.165.9793', '10.1.1.164.217', '10.1.1.159.5080', '10.1.1.155.477', '10.1.1.155.1422', '10.1.1.15.2559', '10.1.1.149.8326', '10.1.1.149.7097', '10.1.1.148.2577', '10.1.1.144.649', '10.1.1.142.1306', '10.1.1.140.6887', '10.1.1.138.1549', '10.1.1.138.1117', '10.1.1.133.788', '10.1.1.133.6667', '10.1.1.121.9958', '10.1.1.117.5978', '10.1.1.117.3806', '10.1.1.113.7513', '10.1.1.113.5719', '10.1.1.107.4781', '10.1.1.106.6333', '10.1.1.104.2958', '10.1.1.100.2647']"
10.1.1.39.1298,2,"['10.1.1.39.1298', '10.1.1.31.7685']"
10.1.1.38.6987,2,"['10.1.1.38.6987', '10.1.1.32.4894']"
10.1.1.38.6121,2,"['10.1.1.38.6121', '10.1.1.25.6221']"
10.1.1.38.4946,2,"['10.1.1.54.9972', '10.1.1.38.4946']"
10.1.1.38.3573,2,"['10.1.1.38.3573', '10.1.1.20.8918']"
10.1.1.38.2752,7,"['10.1.1.49.9700', '10.1.1.38.2752', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.38.1982,2,"['10.1.1.38.1982', '10.1.1.133.4474']"
10.1.1.37.2260,2,"['10.1.1.55.3287', '10.1.1.37.2260']"
10.1.1.36.6331,2,"['10.1.1.36.6331', '10.1.1.103.4081']"
10.1.1.36.5906,3,"['10.1.1.39.6147', '10.1.1.36.5906', '10.1.1.36.4161']"
10.1.1.36.5454,3,"['10.1.1.48.1387', '10.1.1.39.6147', '10.1.1.36.5454']"
