Corpus,Amount,Duplicates
121613959,2,"[17421565, 121613959]"
136557964,2,"[136557964, 212748885]"
54264825,2,"[54264825, 34355950]"
169887704,2,"[169887704, 169259989]"
195709589,2,"[17924122, 195709589]"
53313343,2,"[140720429, 53313343]"
36701397,2,"[25676540, 36701397]"
214903274,2,"[214903274, 3621506]"
15989222,2,"[195709709, 15989222]"
194293214,2,"[191465546, 194293214]"
201219365,2,"[215462106, 201219365]"
23307290,2,"[57904058, 23307290]"
186121386,2,"[186121386, 185593707]"
215502321,2,"[215502321, 181853799]"
215617500,2,"[215617500, 2688087]"
17728793,2,"[199661000, 17728793]"
214834436,2,"[214834436, 14058679]"
163634521,2,"[163634521, 147629909]"
124531599,2,"[121918931, 124531599]"
197555414,2,"[212668044, 197555414]"
100931679,2,"[91336951, 100931679]"
167557574,2,"[166722420, 167557574]"
17830052,2,"[134718450, 17830052]"
209719,2,"[76192029, 209719]"
193555319,5,"[159288845, 162690194, 193555319, 162150745, 160523837]"
15390942,2,"[124802892, 15390942]"
214960638,2,"[214960638, 49230815]"
71661899,2,"[71661899, 45361756]"
100496591,2,"[93105747, 100496591]"
29250451,3,"[208249442, 29250451, 45711335]"
97339195,2,"[97339195, 197392182]"
108743264,2,"[108743264, 195858129]"
14943092,2,"[14943092, 215612606]"
205574115,2,"[43035512, 205574115]"
42635688,6,"[29302977, 40433954, 31336391, 42635688, 21088617, 33610585]"
215470197,2,"[208179613, 215470197]"
215644582,2,"[4472293, 215644582]"
18638054,2,"[215065280, 18638054]"
123417445,2,"[120341124, 123417445]"
211174386,69,"[208901889, 208917377, 210092295, 209533837, 5190927, 208941713, 208769791, 209643283, 208925206, 208924823, 208890905, 27931418, 209536127, 208946848, 28124832, 208923682, 210057123, 208998179, 208922533, 208890665, 208929450, 208927274, 208928815, 208921775, 62784687, 210189490, 208940723, 210696243, 208929973, 19814322, 214755513, 208924473, 2139579, 208922681, 208928702, 208885438, 19190464, 211148864, 209643074, 209669955, 208929215, 209653957, 208898119, 208926025, 209046218, 2470221, 208927309, 208926544, 208935121, 208931796, 208943702, 208941014, 203670232, 209157080, 208917081, 208930398, 208920544, 208930914, 208922850, 208921829, 208929254, 208889832, 208936170, 211174386, 214757748, 208889207, 208923896, 211247614, 208920575]"
62006721,2,"[436680, 62006721]"
3130779,2,"[3130779, 215004838]"
17411348,2,"[17411348, 40838159]"
157854480,2,"[157854480, 14392925]"
116727784,4,"[116727784, 116335514, 116778990, 116272823]"
78459743,2,"[71183811, 78459743]"
152044956,3,"[149275411, 152044956, 157110134]"
9337842,2,"[9337842, 73163892]"
72589237,2,"[41711564, 72589237]"
41673386,2,"[41673386, 72704621]"
30053084,2,"[30053084, 46248382]"
157882481,2,"[157882481, 157184719]"
55148478,2,"[198127664, 55148478]"
95591658,2,"[95591658, 197390234]"
203977937,2,"[203977937, 215478292]"
29602863,3,"[25093765, 30782262, 29602863]"
26903215,2,"[26903215, 111015575]"
215557262,2,"[5758201, 215557262]"
215482885,2,"[209150259, 215482885]"
43925546,4,"[215013016, 43925546, 214870532, 43957052]"
25114628,2,"[26685123, 25114628]"
127363447,7,"[128050376, 127823658, 126621457, 128322898, 126630228, 127363447, 128089082]"
9507917,2,"[215111794, 9507917]"
194972638,2,"[198033674, 194972638]"
54009121,2,"[54009121, 215244990]"
26344519,2,"[215430676, 26344519]"
195657502,2,"[215242459, 195657502]"
52068743,2,"[215046802, 52068743]"
18765882,2,"[18765882, 62232702]"
54557875,2,"[54557875, 205050094]"
7860010,2,"[7860010, 215600003]"
45677481,6,"[28768802, 41414244, 45677481, 35155694, 28399219, 26827575]"
197050897,2,"[123012272, 197050897]"
51958851,2,"[51958851, 51956783]"
197299290,2,"[91902552, 197299290]"
118358851,2,"[120699026, 118358851]"
72492274,2,"[72492274, 68581597]"
124415165,2,"[28621426, 124415165]"
215363176,2,"[215363176, 160011164]"
52881369,2,"[215351496, 52881369]"
208941858,15,"[209672385, 208941858, 207991265, 209607013, 209653510, 209655562, 208003147, 209652845, 209652472, 208912465, 209662739, 209273078, 209630359, 209650166, 209638746]"
17997624,2,"[17997624, 215672026]"
114289961,24,"[113936906, 114087055, 114513813, 117109272, 114289961, 114461738, 114512299, 115075381, 114028341, 114882488, 115093947, 114027966, 114513855, 114287168, 113478980, 133424456, 113638096, 114171476, 115060565, 114888281, 114709731, 114035180, 114818674, 113803508]"
46326834,2,"[46326834, 86683914]"
197100688,2,"[197100688, 136733783]"
51663935,2,"[111214021, 51663935]"
8358826,2,"[28710265, 8358826]"
215163672,2,"[215163672, 10448692]"
19901557,2,"[21321220, 19901557]"
14929240,2,"[14929240, 506055]"
39825602,2,"[39825602, 195312903]"
214990463,2,"[781499, 214990463]"
215158870,2,"[21177084, 215158870]"
215563219,2,"[215563219, 14305503]"
34367429,2,"[110251491, 34367429]"
132126096,2,"[132126096, 134392221]"
38190539,2,"[38190539, 21125047]"
195275542,2,"[155487010, 195275542]"
57745315,2,"[132299056, 57745315]"
214961763,2,"[214961763, 32359735]"
72063880,2,"[72063880, 3121480]"
84592622,2,"[84592622, 45207543]"
6477524,2,"[126405152, 6477524]"
14600063,2,"[37471978, 14600063]"
159300287,2,"[150762071, 159300287]"
127965984,2,"[127965984, 93526917]"
99190630,2,"[98461870, 99190630]"
54318365,38,"[54428417, 54394498, 54335236, 53259013, 54249604, 54414471, 54394888, 54408342, 54287769, 54433306, 54318365, 206006181, 54230822, 54376235, 54316592, 54378167, 54337975, 54246074, 54373949, 54235326, 54299584, 54299843, 54387144, 54362954, 206006611, 54351572, 54331483, 54267618, 54296035, 54333027, 54256226, 54299238, 54319210, 54237420, 54262896, 54332404, 53265524, 54416636]"
198247256,2,"[198247256, 215325402]"
52851699,2,"[38042659, 52851699]"
14274920,2,"[14274920, 37445022]"
63072164,3,"[64091426, 63072164, 59312450]"
113214313,2,"[113214313, 16488185]"
