Corpus,Amount,Duplicates
197181669,2,"[32522245, 197181669]"
208745603,2,"[208745603, 147234014]"
201777418,2,"[201777418, 162596140]"
150793976,2,"[150793976, 155012426]"
153487107,2,"[156346128, 153487107]"
189843637,2,"[189843637, 95647846]"
197847419,2,"[197847419, 157982382]"
37629748,2,"[26646128, 37629748]"
12593334,2,"[12593334, 14086070]"
5166418,4,"[5166418, 31159562, 4305260, 42434317]"
196642711,2,"[33614640, 196642711]"
35533012,2,"[35533012, 96650134]"
53301142,2,"[6507370, 53301142]"
19132585,2,"[19132585, 20468239]"
19038006,3,"[29064420, 19038006, 34271687]"
71826705,2,"[71826705, 32363148]"
101027630,2,"[112206858, 101027630]"
211188525,2,"[156634826, 211188525]"
101455035,2,"[101455035, 197210405]"
22047105,2,"[22047105, 196024033]"
10597309,2,"[10597309, 6138238]"
204322786,2,"[24451050, 204322786]"
49644087,2,"[210933707, 49644087]"
10697227,2,"[10697227, 108877471]"
57672439,2,"[63926246, 57672439]"
189825731,2,"[189825731, 97776127]"
32743632,2,"[32743632, 208253430]"
80230421,2,"[80230421, 135444783]"
213437768,2,"[213437768, 135361605]"
45378581,3,"[206924624, 5418697, 45378581]"
45707508,2,"[196890616, 45707508]"
121229863,2,"[195203008, 121229863]"
36927991,2,"[195645207, 36927991]"
51613851,3,"[51613851, 150590355, 3776135]"
16842639,2,"[80238484, 16842639]"
15523486,2,"[195701995, 15523486]"
56747034,2,"[56747034, 1659254]"
195908527,2,"[12689031, 195908527]"
195108629,2,"[195108629, 195138749]"
204739528,2,"[204739528, 119045117]"
34528236,2,"[34528236, 46587758]"
37455729,2,"[1078361, 37455729]"
195138241,2,"[195138241, 195111923]"
14593498,2,"[14593498, 204028195]"
195291544,2,"[195291544, 93414157]"
8546323,2,"[208199809, 8546323]"
189774823,10,"[189794400, 189765667, 189780932, 189774823, 189771528, 189796363, 189767084, 189769772, 189777488, 189768735]"
12573116,2,"[74662496, 12573116]"
204180624,2,"[204180624, 145968994]"
198573545,2,"[198573545, 198646786]"
10101597,2,"[10101597, 14972893]"
58360066,2,"[58360066, 7927091]"
5892450,2,"[90656162, 5892450]"
189901991,2,"[122674903, 189901991]"
195151550,2,"[195100701, 195151550]"
3419806,2,"[90889261, 3419806]"
62602376,2,"[62602376, 11421324]"
44585272,2,"[44585272, 209147903]"
137475710,2,"[189763914, 137475710]"
214068587,2,"[214068587, 209961599]"
71947139,2,"[71947139, 28865196]"
