id,Amount,Duplicates
10.1.1.220.7843,2,"['10.1.1.150.2217', '10.1.1.220.7843']"
10.1.1.220.504,2,"['10.1.1.188.5331', '10.1.1.220.504']"
10.1.1.220.234,2,"['10.1.1.220.234', '10.1.1.145.7164']"
10.1.1.22.741,2,"['10.1.1.22.741', '10.1.1.28.5031']"
10.1.1.22.2354,2,"['10.1.1.41.871', '10.1.1.22.2354']"
10.1.1.22.2062,2,"['10.1.1.22.2062', '10.1.1.46.7208']"
10.1.1.22.1835,2,"['10.1.1.22.1835', '10.1.1.163.4923']"
10.1.1.219.6360,2,"['10.1.1.147.3014', '10.1.1.219.6360']"
10.1.1.219.5099,2,"['10.1.1.219.5099', '10.1.1.228.8436']"
10.1.1.219.4963,2,"['10.1.1.211.6928', '10.1.1.219.4963']"
10.1.1.218.9310,2,"['10.1.1.218.9310', '10.1.1.169.3532']"
10.1.1.218.7681,2,"['10.1.1.218.7681', '10.1.1.150.2865']"
10.1.1.216.977,2,"['10.1.1.216.977', '10.1.1.155.477']"
10.1.1.216.9539,2,"['10.1.1.84.9931', '10.1.1.216.9539']"
10.1.1.216.225,2,"['10.1.1.216.225', '10.1.1.208.4638']"
10.1.1.214.249,2,"['10.1.1.214.249', '10.1.1.187.3301']"
10.1.1.212.5243,2,"['10.1.1.212.5243', '10.1.1.100.8982']"
10.1.1.212.3815,2,"['10.1.1.212.3815', '10.1.1.212.1256']"
10.1.1.212.1256,2,"['10.1.1.212.3815', '10.1.1.212.1256']"
10.1.1.211.9857,2,"['10.1.1.222.7587', '10.1.1.211.9857']"
10.1.1.211.7178,2,"['10.1.1.211.7178', '10.1.1.133.6667']"
10.1.1.211.6928,2,"['10.1.1.211.6928', '10.1.1.219.4963']"
10.1.1.210.5731,2,"['10.1.1.210.5731', '10.1.1.210.5560']"
10.1.1.210.5560,2,"['10.1.1.210.5731', '10.1.1.210.5560']"
10.1.1.210.4195,2,"['10.1.1.210.4195', '10.1.1.143.7564']"
10.1.1.210.3329,2,"['10.1.1.210.3329', '10.1.1.75.3023']"
10.1.1.210.1687,2,"['10.1.1.210.1687', '10.1.1.233.4878']"
10.1.1.21.7402,2,"['10.1.1.21.7402', '10.1.1.16.8449']"
10.1.1.21.6897,2,"['10.1.1.21.6897', '10.1.1.131.4580']"
10.1.1.21.5977,2,"['10.1.1.58.6683', '10.1.1.21.5977']"
10.1.1.21.2382,2,"['10.1.1.44.9058', '10.1.1.21.2382']"
10.1.1.208.4638,2,"['10.1.1.216.225', '10.1.1.208.4638']"
10.1.1.207.7915,2,"['10.1.1.207.7915', '10.1.1.116.8518']"
10.1.1.207.5636,2,"['10.1.1.207.5636', '10.1.1.224.6866']"
10.1.1.207.214,6,"['10.1.1.26.5588', '10.1.1.207.214', '10.1.1.165.9793', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.49.9700']"
10.1.1.207.1180,2,"['10.1.1.3.832', '10.1.1.207.1180']"
10.1.1.206.1054,2,"['10.1.1.51.6359', '10.1.1.206.1054']"
10.1.1.205.4331,2,"['10.1.1.161.1824', '10.1.1.205.4331']"
10.1.1.205.3718,2,"['10.1.1.205.3718', '10.1.1.141.5540']"
10.1.1.204.8931,2,"['10.1.1.188.6840', '10.1.1.204.8931']"
10.1.1.2.3165,2,"['10.1.1.2.3165', '10.1.1.56.3828']"
10.1.1.194.2559,2,"['10.1.1.194.2559', '10.1.1.194.2545']"
10.1.1.194.2545,2,"['10.1.1.194.2559', '10.1.1.194.2545']"
10.1.1.193.9150,2,"['10.1.1.193.9150', '10.1.1.187.388']"
10.1.1.192.1996,2,"['10.1.1.96.6534', '10.1.1.192.1996']"
10.1.1.190.9025,2,"['10.1.1.190.9025', '10.1.1.164.2486']"
10.1.1.190.7193,2,"['10.1.1.183.8410', '10.1.1.190.7193']"
10.1.1.190.6952,2,"['10.1.1.190.6952', '10.1.1.183.8111']"
10.1.1.190.6279,2,"['10.1.1.183.7499', '10.1.1.190.6279']"
10.1.1.19.2460,2,"['10.1.1.19.2460', '10.1.1.1.9330']"
10.1.1.188.8583,2,"['10.1.1.188.8583', '10.1.1.187.9582']"
10.1.1.188.6840,2,"['10.1.1.188.6840', '10.1.1.204.8931']"
10.1.1.188.5331,2,"['10.1.1.188.5331', '10.1.1.220.504']"
10.1.1.187.9582,2,"['10.1.1.188.8583', '10.1.1.187.9582']"
10.1.1.187.7534,4,"['10.1.1.187.7185', '10.1.1.182.1598', '10.1.1.187.7534', '10.1.1.172.5408']"
10.1.1.187.7185,4,"['10.1.1.187.7185', '10.1.1.182.1598', '10.1.1.187.7534', '10.1.1.172.5408']"
10.1.1.187.6602,2,"['10.1.1.187.2690', '10.1.1.187.6602']"
10.1.1.187.6466,2,"['10.1.1.187.6466', '10.1.1.187.5964']"
10.1.1.187.5964,2,"['10.1.1.187.6466', '10.1.1.187.5964']"
10.1.1.187.4658,2,"['10.1.1.187.4658', '10.1.1.183.64']"
10.1.1.187.388,2,"['10.1.1.193.9150', '10.1.1.187.388']"
10.1.1.187.3301,2,"['10.1.1.214.249', '10.1.1.187.3301']"
10.1.1.187.2690,2,"['10.1.1.187.2690', '10.1.1.187.6602']"
10.1.1.186.7557,2,"['10.1.1.186.7557', '10.1.1.169.9186']"
10.1.1.186.7519,2,"['10.1.1.159.3409', '10.1.1.186.7519']"
10.1.1.186.2258,2,"['10.1.1.231.2352', '10.1.1.186.2258']"
10.1.1.186.1251,2,"['10.1.1.186.1251', '10.1.1.169.8566']"
10.1.1.185.2397,2,"['10.1.1.185.2397', '10.1.1.176.4946']"
10.1.1.184.2855,2,"['10.1.1.183.9650', '10.1.1.184.2855']"
10.1.1.183.9650,2,"['10.1.1.183.9650', '10.1.1.184.2855']"
10.1.1.183.9194,2,"['10.1.1.167.1514', '10.1.1.183.9194']"
10.1.1.183.8410,2,"['10.1.1.183.8410', '10.1.1.190.7193']"
10.1.1.183.8111,2,"['10.1.1.190.6952', '10.1.1.183.8111']"
10.1.1.183.7499,2,"['10.1.1.183.7499', '10.1.1.190.6279']"
10.1.1.183.64,2,"['10.1.1.187.4658', '10.1.1.183.64']"
10.1.1.183.5765,6,"['10.1.1.26.5588', '10.1.1.207.214', '10.1.1.165.9793', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.49.9700']"
10.1.1.183.3710,6,"['10.1.1.26.5588', '10.1.1.207.214', '10.1.1.165.9793', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.49.9700']"
10.1.1.183.167,2,"['10.1.1.178.1853', '10.1.1.183.167']"
10.1.1.182.1598,4,"['10.1.1.187.7185', '10.1.1.182.1598', '10.1.1.187.7534', '10.1.1.172.5408']"
10.1.1.180.2178,2,"['10.1.1.165.4526', '10.1.1.180.2178']"
10.1.1.180.1751,2,"['10.1.1.168.8', '10.1.1.180.1751']"
10.1.1.180.1060,2,"['10.1.1.180.1060', '10.1.1.170.3227']"
10.1.1.18.1665,2,"['10.1.1.18.1665', '10.1.1.147.3931']"
10.1.1.178.9490,2,"['10.1.1.178.9490', '10.1.1.170.7211']"
10.1.1.178.9381,2,"['10.1.1.178.9381', '10.1.1.170.7249']"
10.1.1.178.4839,2,"['10.1.1.170.8062', '10.1.1.178.4839']"
10.1.1.178.4377,2,"['10.1.1.169.2669', '10.1.1.178.4377']"
10.1.1.178.4340,2,"['10.1.1.178.4340', '10.1.1.169.2573']"
10.1.1.178.1853,2,"['10.1.1.178.1853', '10.1.1.183.167']"
10.1.1.177.8464,2,"['10.1.1.177.8388', '10.1.1.177.8464']"
10.1.1.177.8388,2,"['10.1.1.177.8388', '10.1.1.177.8464']"
10.1.1.177.641,2,"['10.1.1.177.641', '10.1.1.170.7768']"
10.1.1.176.4946,2,"['10.1.1.185.2397', '10.1.1.176.4946']"
